item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score,days_of_stock_coverage,expected_demand_during_lead_time,lead_time_stock_gap,below_reorder_point,stockout_risk,inventory_value,coverage_to_lead_time_ratio,overstock_candidate
ITM10000,Pharma,283,21,4,4,49.85,1.56,0.43,L82,B,106,3.61,117.8,1.14,0,0.8,700,3.33,0.33,2024-02-17,184.37,0.556,5.677031093279839,199.4,83.6,False,False,33337.4,1.4192577733199598,False
ITM10001,Automotive,301,52,9,6,23.34,2.55,0.69,L15,A,45,3.54,178.8,1.09,3,0.79,736,10.36,0.98,2024-10-01,221.94,0.723,12.896315338474722,140.04,160.96,False,False,53818.8,2.149385889745787,False
ITM10002,Groceries,132,60,11,8,37.69,3.15,0.62,L4,B,177,0.52,54.05,0.95,7,0.75,814,14.32,0.87,2024-04-07,53.85,0.68,3.502255240116742,301.52,-169.51999999999998,False,True,7134.599999999999,0.43778190501459274,False
ITM10003,Automotive,346,46,13,5,33.69,2.79,0.21,L95,A,39,2.64,31.1,1.9,0,0.96,994,2.08,0.29,2024-01-27,92.04,0.488,10.27010982487385,168.45,177.55,False,False,10760.6,2.05402196497477,False
ITM10004,Automotive,49,55,4,6,49.58,5.23,0.31,L36,D,35,1.4,104.97,0.63,5,0.83,299,5.65,0.96,2024-05-17,194.58,0.67,0.9883017345703913,297.48,-248.48000000000002,True,True,5143.53,0.16471695576173187,False
ITM10005,Apparel,154,62,9,6,35.95,9.47,0.41,L32,A,94,1.96,164.12,0.66,1,0.99,477,7.61,0.95,2024-07-12,180.65,0.803,4.283727399165508,215.70000000000002,-61.70000000000002,False,True,25274.48,0.7139545665275846,False
ITM10006,Groceries,86,97,6,4,9.04,4.72,0.28,L29,C,110,4.9,134.38,0.37,8,0.88,418,4.25,0.45,2024-12-10,223.69,0.526,9.513274336283187,36.16,49.84,True,False,11556.68,2.3783185840707968,False
ITM10007,Groceries,84,89,13,4,47.82,6.78,0.24,L18,D,130,0.88,131.09,1.42,7,0.74,958,11.37,0.7,2024-11-05,195.75,0.558,1.7565872020075282,191.28,-107.28,True,True,11011.56,0.43914680050188204,False
ITM10008,Groceries,311,22,4,9,33.72,7.04,0.15,L95,D,40,3.75,13.32,0.71,8,0.86,697,10.64,0.29,2024-11-04,105.74,0.541,9.223013048635824,303.48,7.519999999999982,False,False,4142.52,1.0247792276262027,False
ITM10009,Automotive,44,98,9,8,3.91,8.78,0.89,L14,A,26,1.28,70.32,1.63,8,1.0,496,2.65,0.27,2024-01-21,154.78,0.366,11.253196930946292,31.28,12.719999999999999,True,False,3094.08,1.4066496163682864,False
ITM10010,Pharma,56,63,7,2,33.22,0.82,0.36,L87,B,107,0.53,188.5,1.95,1,0.87,71,8.97,0.6,2024-02-07,266.58,0.599,1.6857314870559905,66.44,-10.439999999999998,True,True,10556.0,0.8428657435279953,False
